Catégorie,Nom,Description,Localisation,Histoire,Créatures Notables,Personnages Notables,Organisations Notables,Autres Détails
Ville,Sandpoint,"Une petite ville de Varisie connue pour ses aventures et ses mystères.","Varisie, nord-ouest de l'Avistan","Sandpoint est une ville prospère malgré ses fréquents troubles, notamment ceux liés à la vieille lumière.","Goblines, Dragons","Ameiko Kaijitsu, Belor Hemlock","Les Héros de Sandpoint, La Milice de Sandpoint","La ville est célèbre pour le Cataclysm de Chopper et le festival de Swallowtail."
Ville,Korin,"Une ville portuaire de Nirmathas, connue pour ses marchés et ses chantiers navals.","Nirmathas, centre de l'Avistan","Korin est une ville animée, essentielle au commerce maritime de Nirmathas.","Sirènes, Pirates","Capitaine Rona, Gouverneur Larken","Les Marchands de Korin, Les Gardiens du Port","La ville est célèbre pour ses festivals maritimes et ses chantiers navals."
Ville,Yanmass,"Une ville de commerce d'Andoran située sur les routes caravanes entre Taldor et le nord de Garund.","Andoran, sud-ouest de l'Avistan","Yanmass est une plaque tournante du commerce, reliant plusieurs régions par des routes caravanières.","Bandits, Marchands","Dame Parthena, Chanoine Gallegos","Les Gardiens de la Route, Les Marchands de Yanmass","La ville est connue pour ses marchés animés et son festival de la route."
Ville,Riddleport,"Une ville portuaire de Varisie connue pour ses intrigues criminelles et ses mystères.","Varisie, nord-ouest de l'Avistan","Riddleport est un refuge pour les pirates, les contrebandiers et les aventuriers cherchant des réponses aux mystères des Cyphergates.","Pirates, Contrebandiers","Boss Croat, Elias Tammerhawk","La Ligue des Cyphermages, Les Pirates de Riddleport","La ville est célèbre pour son arche énigmatique, la Cyphergate."
Ville,Sabado,"Une ville agricole de Taldor, connue pour ses vignobles et ses festivités annuelles.","Taldor, centre-sud de l'Avistan","Sabado est une ville prospère grâce à son agriculture et ses vins réputés.","Bandits, Faunes","Maire Julio Martis, Dame Andara","Les Vignerons de Sabado, La Milice de Sabado","La ville est célèbre pour son festival des vendanges et ses marchés de vin."
Ville,Greengold,"Une ville portuaire de Kyonin, souvent utilisée comme point d'entrée pour les étrangers.","Kyonin, sud de l'Avistan","Greengold est une ville où les non-elfes peuvent commercer et interagir avec le royaume elfique de Kyonin.","Fées, Élémentaires","Ambassadeur Thandion, Capitaine Raleth","Les Gardiens de Greengold, Les Marchands de Kyonin","La ville est célèbre pour ses marchés animés et son port accueillant."
Ville,Senghor,"Une ville portuaire indépendante sur la côte sud de Garund, connue pour son commerce maritime.","Sud de Garund, Mwangi Expanse","Senghor est une cité-état prospère, protégée par de puissantes fortifications et une flotte navale redoutable.","Pirates, Monstres marins","Amirale Obehla, Consul Keris","La Flotte de Senghor, Les Marchands de Senghor","La ville est célèbre pour ses docks animés et sa diversité culturelle."
Ville,Eleder,"La capitale de Sargava, un point de rencontre de cultures et de commerce maritime.","Sargava, sud-ouest de Garund","Eleder est une ville portuaire influencée par diverses cultures en quête de son identité post-coloniale.","Créatures de la jungle, Pirates","Baron Utilinus, Ieana","Les Libérateurs de Sargava, Les Flibustiers de l'Ouest","La ville est connue pour son port animé et ses divers marchés."
Ville,Sothis,"La capitale d'Osirion, dominée par la Grande Pyramide Noire.","Osirion, nord de Garund","Sothis est une ville ancienne et vénérable, riche en histoire pharaonique et en mystères.","Momies, Sphinx","Pharaon Khemet III, Grand Vizir","La Société des Éclaireurs, Les Érudits de Sothis","La ville est connue pour ses grandes pyramides et ses nombreux temples anciens."
Ville,Westcrown,"Ancienne capitale de Cheliax, connue pour ses canaux et ses ruines.","Cheliax, sud-ouest de l'Avistan","Westcrown est une ville en déclin, hantée par des ombres et dominée par la criminalité.","Ombres, Diables","Eccardian Drovenge, Aberian Arvanxi","Les Enforcers de Westcrown, Les Ombres de la Nuit","La ville est célèbre pour ses ruines anciennes et ses intrigues politiques."
Ville,Kintargo,"Une ville rebelle de Cheliax, connue pour sa résistance culturelle et politique.","Cheliax, sud-ouest de l'Avistan","Kintargo est un centre de dissidence contre la domination diabolique de Cheliax.","Diables, Révolutionnaires","Barzillai Thrune, Shensen","Les Insurgés de Kintargo, Les Artistes de la Libération","La ville est célèbre pour son mouvement de résistance et ses artistes dissidents."
Ville,Whitethrone,"La capitale glaciale d'Irrisen, gouvernée par les sorcières de Baba Yaga.","Irrisen, nord-ouest de l'Avistan","Fondée par Baba Yaga, Whitethrone est un centre de pouvoir glacial et magique.","Trolls de glace, Fées de l'hiver","Reine Elvanna, Baba Yaga","Les Sorcières de l'Hiver, Les Chevaliers de l'Hiver","La ville est célèbre pour son palais de glace et ses marchés hivernaux."
Ville,Nybor,"Une petite ville d'Andoran connue pour ses festivals et ses riches terres agricoles.","Andoran, sud-ouest de l'Avistan","Nybor est une communauté agricole prospère avec une forte tradition de festivals saisonniers.","Esprits de la nature, Faunes","Maire Lorwin Greenspan, Dame Calisra","Les Fermiers de Nybor, Les Druides de Verduran","La ville est célèbre pour ses festivals de la moisson et ses marchés de produits frais."
Ville,Riddleport,"Une ville portuaire de Varisie connue pour ses intrigues criminelles et ses mystères.","Varisie, nord-ouest de l'Avistan","Riddleport est un refuge pour les pirates, les contrebandiers et les aventuriers cherchant des réponses aux mystères des Cyphergates.","Pirates, Contrebandiers","Boss Croat, Elias Tammerhawk","La Ligue des Cyphermages, Les Pirates de Riddleport","La ville est célèbre pour son arche énigmatique, la Cyphergate."
Ville,Greengold,"Une ville portuaire de Kyonin, souvent utilisée comme point d'entrée pour les étrangers.","Kyonin, sud de l'Avistan","Greengold est une ville où les non-elfes peuvent commercer et interagir avec le royaume elfique de Kyonin.","Fées, Élémentaires","Ambassadeur Thandion, Capitaine Raleth","Les Gardiens de Greengold, Les Marchands de Kyonin","La ville est célèbre pour ses marchés animés et son port accueillant."
Ville,Kibwe,"Une ville de commerce animée dans le Mwangi Expanse, connue pour sa diversité culturelle.","Mwangi Expanse, centre de Garund","Kibwe est un melting-pot où de nombreuses cultures se rencontrent pour échanger des biens et des idées.","Dinosaurs, Elementals","Mayor Noxolo, Trade Prince Zinlo","Les Marchands de Kibwe, Les Gardiens de la Jungle","La ville est célèbre pour son marché animé et sa diversité ethnique."
Ville,Ravengro,"Un petit village d'Ustalav marqué par des histoires de fantômes et de mystères.","Ustalav, nord-est de l'Avistan","Ravengro est un village tranquille souvent perturbé par des événements surnaturels liés à l'ancienne prison de Harrowstone.","Fantômes, Aberrations","Vashian Hearthmount, Gibs Hephenus","Les Gardes de Ravengro, Les Investigateurs de Harrowstone","Le village est célèbre pour les ruines de la prison de Harrowstone."
Ville,Pezzack,"Une ville de Cheliax connue pour ses fréquentes rébellions contre le régime diabolique.","Cheliax, sud-ouest de l'Avistan","Pezzack est un foyer de dissidence où les rebelles cherchent à renverser la Maison Thrune.","Diables, Rebels","Chancellor Ardathanatus, Wynsal Starborn","Les Rebelles de Pezzack, Les Enforcers de Thrune","La ville est célèbre pour ses émeutes et son opposition farouche à Cheliax."
Ville,Thronestep,"La capitale du Razmiran, dominée par le culte de Razmir.","Razmiran, nord-est de l'Avistan","Thronestep est une ville où la foi en Razmir est imposée de manière draconienne.","Prêtres fanatiques, Esprits","Razmir, Commandant Marcarian","Les Prêtres de Razmir, Les Chevaliers de la Foi","La ville est connue pour son temple imposant et ses rituels oppressifs."
Ville,Vigil,"La capitale fortifiée de Lastwall, un bastion contre les forces des morts-vivants.","Lastwall, nord de l'Avistan","Vigil est une ville militaire, dédiée à la défense contre les menaces de Gallowspire et au-delà.","Morts-vivants, Liches","Commandant Ashworth, Dame Opaline","Les Gardiens de l'Aube, Les Paladins de Lastwall","La ville est célèbre pour ses fortifications robustes et son engagement martial."
Ville,Galtan,"Une ville en constante révolution, marquée par la violence et l'instabilité politique.","Galt, centre-est de l'Avistan","Galtan est une ville où les révolutions fréquentes ont laissé des cicatrices profondes.","Révolutionnaires, Espions","Korran Goss, Hosetter","Les Faucheurs Rouges, Les Révolutionnaires de Galt","La ville est connue pour ses exécutions publiques et son atmosphère volatile."
Ville,Breachill,"Une ville frontière connue pour ses appels à l'aide mensuels pour résoudre des problèmes locaux.","Isger, sud de l'Avistan","Breachill est connue pour son esprit communautaire et son historique de collaborations héroïques.","Gobelins, Bandits","Maire Greta Gardania, Warbal Bumblebrasher","Les Défenseurs de Breachill, Les Aventuriers Locaux","La ville est célèbre pour son programme unique de recrutement d'aventuriers."
Ville,Belzken,"Un village situé dans les étendues de Belkzen, souvent victime de raids orques.","Belkzen, nord-ouest de l'Avistan","Belzken est souvent en état d'alerte constant contre les attaques de tribus orques.","Orques, Géants","Chieftain Grask Uldeth, Shaman Kazrak","Les Défenseurs de Belzken, Les Sentinelles de la Frontière","La ville est connue pour ses palissades robustes et ses tours de guet."
Ville,Hammer Rock,"Une ville fortifiée naine connue pour ses riches mines de métal précieux.","Montagnes des Cinq Rois, Avistan","Hammer Rock est une source majeure de métaux précieux pour les nations voisines.","Dragons, Nains","Roi Borogrim, Maître Forgeron Durok","Les Forgerons de Hammer Rock, La Guilde des Mineurs","La ville est célèbre pour ses mines profondes et ses armes de qualité exceptionnelle."
Ville,Fort Ramgate,"Un fort militaire stratégique utilisé pour protéger les routes commerciales.","Nirmathas, centre de l'Avistan","Fort Ramgate joue un rôle crucial dans la protection des convois marchands et des routes commerciales.","Bandits, Soldats","Commandant Garik, Capitaine Elena","Les Gardes de Ramgate, Les Sentinelles de la Route","La ville est connue pour ses fortifications imposantes et ses marchés sécurisés."
Ville,Torch,"Une ville de Numeria, connue pour sa flamme perpétuelle et ses technologies anciennes.","Numeria, nord-est de l'Avistan","Torch est un centre de recherche et d'exploitation technologique, attirant des technomanciens et des explorateurs.","Robots, Mutants","Khonnir Baine, Dolga Feddert","Les Technomanciens de Torch, Les Explorateurs de Numeria","La ville est célèbre pour sa flamme perpétuelle utilisée pour le travail des métaux rares."
Ville,Katapesh,"Une ville libre prospérant sur le commerce de toutes sortes de biens, y compris les plus exotiques et illégaux.","Katapesh, sud de Garund","Katapesh est un centre commercial où tout peut être acheté pour le bon prix.","Génies, Esclaves","Pasha Muhlia al-Jakri, Père Jackal","Les Marchands de Katapesh, Les Gardiens du Crépuscule","La ville est célèbre pour son vaste marché nocturne et son commerce d'esclaves."
Ville,Peddlegate,"Un village tranquille d'Andoran connu pour son artisanat et son esprit communautaire.","Andoran, sud-ouest de l'Avistan","Peddlegate est une communauté prospère grâce à son artisanat de haute qualité.","Esprits de la nature, Bandits","Maire Eliana Wood, Capitaine Feron","Les Artisans de Peddlegate, La Milice Locale","La ville est célèbre pour ses foires artisanales et son marché hebdomadaire."
Ville,Pious Heights,"Une ville sacrée de Lastwall dédiée à la formation de paladins et de prêtres.","Lastwall, nord de l'Avistan","Pious Heights est un centre religieux et militaire dédié à la lutte contre les morts-vivants.","Morts-vivants, Liches","Grand Prêtre Arlos, Paladin Commander Mira","Les Ordres Sacrés de Pious Heights, Les Chevaliers de Lastwall","La ville est célèbre pour ses temples imposants et ses rituels sacrés."
Ville,Ravenmoor,"Un village rural isolé avec un sombre secret et des traditions inquiétantes.","Ustalav, nord-est de l'Avistan","Ravenmoor est un village apparemment paisible mais avec des pratiques occultes sous la surface.","Aberrations, Cultistes","Maire Kriegler, Ancienne Viorian","Les Gardiens de Ravenmoor, Les Cultistes de l'Ancienne","La ville est connue pour ses festivals inquiétants et ses mystérieuses disparitions."
Ville,Bis,"Un village minier en Ustalav souvent en proie à des créatures des ténèbres.","Ustalav, nord-est de l'Avistan","Bis est une communauté de mineurs vivant sous la menace constante des créatures souterraines.","Vampires, Ombres","Maire Jakta, Capitaine Verin","Les Mineurs de Bis, Les Défenseurs de la Nuit","La ville est célèbre pour ses riches mines et ses légendes de terreur."
Ville,Dustpawn,"Une ville isolée dans les Terres Fracturées, connue pour ses tempêtes de poussière constantes.","Terres Fracturées, est de l'Avistan","Dustpawn est une communauté résiliente vivant dans des conditions extrêmes de tempêtes de poussière.","Élémentaires de poussière, Bandits","Maire Thaddeus Dustwalker, Chaman Yara","Les Survivants de Dustpawn, Les Éclaireurs du Désert","La ville est connue pour ses techniques de survie et ses bâtiments résistants à la poussière."
Ville,Bladswell,"Une ville fortifiée en Mendev, souvent attaquée par les forces démoniaques de la Plaie du Monde.","Mendev, nord-est de l'Avistan","Bladswell est une ville en état de siège constant, défendue par des paladins et des guerriers dévoués.","Démons, Balors","Commandant Aric, Paladin Sera","Les Défenseurs de Bladswell, Les Croisés de Mendev","La ville est célèbre pour ses fortifications et ses batailles héroïques."
Ville,Fangwood Keep,"Une forteresse en Nirmathas utilisée comme base avancée contre les attaques de Molthune.","Nirmathas, centre de l'Avistan","Fangwood Keep est une forteresse stratégique située à l'orée de la forêt de Fangwood.","Soldats, Rangers","Commandant Varian, Ranger Elise","Les Gardiens de Fangwood, Les Sentinelles de Nirmathas","La ville est connue pour ses embuscades et ses défenses forestières."
Ville,Azlanti Keep,"La capitale ancienne de l'empire Azlanti, maintenant en ruines sous la mer.","Mer Intérieure","Azlanti Keep est un vestige de l'ancienne civilisation Azlanti, riche en artefacts et en mystères.","Kraken, Atlantes","Emperor Azlant, High Mage Zaelios","Les Gardes de l'Empire, Les Érudits de l'Océan","La ville est connue pour ses ruines sous-marines et ses trésors anciens."
Ville,Mosswater,"Une ville abandonnée envahie par des créatures marécageuses après une catastrophe mystérieuse.","Royaumes Fluviaux, centre-est de l'Avistan","Mosswater était autrefois prospère avant d'être submergée par une invasion de monstres du marais.","Hydres, Trolls des Marais","Baroness Ivona, Capitaine Grella","Les Survivants de Mosswater, Les Explorateurs des Marais","La ville est célèbre pour ses ruines submergées et ses légendes effrayantes."
Ville,Riverton,"Une ville de pêcheurs et de commerçants située sur les rives du fleuve Sellen.","Andoran, sud-ouest de l'Avistan","Riverton est un centre de commerce fluvial, reliant plusieurs régions par la voie navigable.","Esprits de l'eau, Pirates","Maire Helena, Capitaine Drakus","Les Pêcheurs de Riverton, Les Marchands du Fleuve","La ville est célèbre pour son marché de poissons et ses festivals fluviaux."
Organisation,La Société des Éclaireurs,"Une organisation d'explorateurs et d'archéologues dédiée à la découverte et à la documentation des secrets du monde.","Base principale à Absalom, mais présente partout en Golarion","Fondée il y a des siècles, la Société est célèbre pour ses exploits et ses découvertes.","N/A","Venture-Captain Drandle Dreng, Sheila Heidmarch","N/A","Les membres de la Société des Éclaireurs sont souvent envoyés en mission pour explorer des ruines anciennes et rapporter des artefacts et des connaissances."
Organisation,Les Chevaliers Infernaux,"Une organisation d'élite dédiée à l'ordre et à la loi, souvent en utilisant des moyens draconiens.","Basée principalement en Cheliax, mais avec des forteresses partout en Avistan","Connus pour leur discipline stricte et leur allégeance à la Maison Thrune et à la reine Abrogail.","Diables, Infernaux","Paravicar Acillmar, Dame Drovust","La Maison Thrune, Les Enforcers de Westcrown","Les Chevaliers Infernaux sont célèbres pour leurs armures intimidantes et leur utilisation de la magie diabolique."
Organisation,Les Croisés d'Iomedae,"Un ordre de paladins et de guerriers saints dédiés à la déesse Iomedae et à la lutte contre le mal.","Basé à Lastwall et Mendev","Fondés pour lutter contre les forces des morts-vivants et les démons de la Plaie du Monde.","Démons, Morts-vivants","Reine Galfrey, Hulrun Shappok","Les Gardiens de la Frontière, Les Sentinelles de Lastwall","Les Croisés sont connus pour leur bravoure, leur discipline et leurs croisades saintes."
Organisation,La Ligue des Cyphermages,"Un groupe d'érudits et de mages dédiés à l'étude des cyphers et des runes anciennes.","Riddleport, Varisie","Fondée par des mages intéressés par les mystères des Cyphergates et des ruines thassiloniennes.","N/A","Elias Tammerhawk, Clegg Zincher","Les Pirates de Riddleport, Les Enforcers de Cyphergate","La Ligue est célèbre pour ses recherches arcanes et ses découvertes historiques."
Organisation,Les Gardiens de la Pierre Étoile,"Une organisation secrète dédiée à la protection et à l'étude de la Pierre Étoile.","Basée principalement à Absalom, mais active dans tout Golarion","Les Gardiens existent depuis des siècles, protégeant ce puissant artefact des mains des tyrans et des conquérants.","N/A","Lord Gyr d'Absalom, Lady Darchana","Les Érudits de l'Académie, Les Protecteurs de l'Avistan","L'organisation est célèbre pour sa discrétion et ses membres dévoués."
Organisation,Les Gardiens de l'Hiver,"Une organisation de sorcières et de guerriers dédiés à la protection du royaume d'Irrisen.","Basée à Whitethrone, Irrisen","Fondée par Baba Yaga pour protéger son royaume éternel de l'hiver.","Trolls de glace, Fées de l'hiver","Reine Elvanna, Baba Yaga","Les Sorcières de l'Hiver, Les Chevaliers de l'Hiver","Les Gardiens sont connus pour leur magie glaciale et leur loyauté indéfectible à Baba Yaga."
Organisation,Les Frères des Tunnels,"Un groupe de contrebandiers et de mercenaires opérant sous la ville de Kaer Maga.","Kaer Maga, Varisie","Les Frères des Tunnels sont bien établis dans les labyrinthes souterrains de Kaer Maga, utilisant les tunnels pour échapper à la loi et transporter des marchandises illégales.","Chimères, Homoncules","Grosk, Janderhoff","Les Écumeurs de Sklor, Les Gardes de Kaer Maga","L'organisation est célèbre pour ses réseaux secrets et ses opérations clandestines."
Organisation,Les Ombres de la Nuit,"Un groupe d'assassins et d'espions opérant dans les rues de Westcrown.","Westcrown, Cheliax","Connus pour leurs opérations secrètes et leur influence dans les cercles politiques de Cheliax.","Ombres, Diables","Eccardian Drovenge, Aberian Arvanxi","Les Enforcers de Westcrown, Les Loyalistes de Thrune","Les Ombres sont célèbres pour leur efficacité et leur discrétion."
Organisation,Les Rebelles de Pezzack,"Un groupe de révolutionnaires cherchant à renverser le régime diabolique de Cheliax.","Pezzack, Cheliax","Formés en réponse à la tyrannie de la Maison Thrune, les Rebelles de Pezzack mènent des attaques furtives contre les forces de Cheliax.","Diables, Rebelles","Chancellor Ardathanatus, Wynsal Starborn","Les Révolutionnaires de Cheliax, Les Insurgés de Pezzack","Les Rebelles sont connus pour leur détermination et leur courage face à l'oppression."
Organisation,Les Druides de Verduran,"Un cercle de druide dédié à la préservation de la forêt de Verduran et de ses habitants.","Forêt de Verduran, Andoran","Fondés pour protéger les anciennes forêts d'Andoran contre l'exploitation et la destruction.","Esprits de la forêt, Faunes","Grand Druid Faena, Maire Grelda Swiftfoot","Les Gardiens de la Nature, Les Sentinelles de la Forêt","Les Druides sont célèbres pour leurs rituels naturels et leur connexion profonde avec la nature."
Organisation,Les Skalds du Nord,"Un groupe de bardes et de guerriers des Terres des Linnorm Kings, préservant les sagas et les histoires de leur peuple.","Terres des Linnorm Kings, nord de l'Avistan","Les Skalds voyagent de village en village, chantant les histoires des héros et des rois des Linnorms.","Linnorms, Trolls","White Estrid, Sveinn Blood-Eagle","Les Jarls des Linnorm Kings, Les Guerriers de Kalsgard","Les Skalds sont connus pour leurs chants épiques et leur rôle dans la préservation de l'histoire nordique."
Organisation,Les Mercenaires de Braganza,"Une compagnie de mercenaires bien entraînés au service de Molthune.","Molthune, centre-sud de l'Avistan","Fondés pour servir Molthune dans ses guerres d'expansion et de défense contre Nirmathas.","Soldats, Mercenaires","Général Lord Markwin Teldas, Commandant Vrykan Pendrot","Les Légions de Molthune, Les Gardiens de Canorate","Les Mercenaires de Braganza sont célèbres pour leur discipline militaire et leur efficacité sur le champ de bataille."
Organisation,Les Technomanciens de Starfall,"Un groupe de mages et de scientifiques dédiés à l'étude et à l'utilisation de la technologie extraterrestre de Numeria.","Starfall, Numeria","Fondés pour exploiter les merveilles technologiques découvertes dans les ruines extraterrestres de Numeria.","Robots, Mutants","Kevoth-Kul, Unity","La Légion d'Argent, Les Ingénieurs de Torch","Les Technomanciens sont connus pour leurs inventions avancées et leur maîtrise de la technologie ancienne."
Organisation,Les Pirates des Shackles,"Une coalition de pirates et de flibustiers qui contrôlent les mers autour des Shackles.","Les Shackles, sud de Garund","Formée pour résister aux forces extérieures et maintenir le contrôle des routes maritimes par les pirates.","Kraken, Pirates","Hurricane King Kerdak Bonefist, Tessa Fairwind","Les Flibustiers du Sud, Les Corsaires de Port Peril","Les Pirates sont célèbres pour leurs exploits audacieux et leur domination des mers."
Organisation,Les Vignerons de Sabado,"Un groupe de viticulteurs dédiés à la production des meilleurs vins de Taldor.","Sabado, Taldor","Fondés pour promouvoir et protéger l'art de la viticulture dans la région de Sabado.","Bandits, Faunes","Maire Julio Martis, Dame Andara","Les Fermiers de Sabado, La Milice de Sabado","Les Vignerons sont célèbres pour leurs vins exquis et leurs festivals annuels des vendanges."
Organisation,Les Gardes de Greengold,"Une milice locale dédiée à la protection de la ville portuaire de Greengold.","Greengold, Kyonin","Fondés pour protéger les intérêts des elfes et des non-elfes commerçant à Greengold.","Fées, Élémentaires","Ambassadeur Thandion, Capitaine Raleth","Les Marchands de Kyonin, Les Gardiens de la Forêt","Les Gardes sont célèbres pour leur vigilance et leur compétence en matière de défense."
Organisation,Les Insurgés de Kintargo,"Un groupe de rebelles cherchant à libérer Kintargo de la domination diabolique de Cheliax.","Kintargo, Cheliax","Formés en réponse à la tyrannie de Barzillai Thrune, les Insurgés luttent pour la liberté et la justice.","Diables, Révolutionnaires","Barzillai Thrune, Shensen","Les Révolutionnaires de Cheliax, Les Artistes de la Libération","Les Insurgés sont connus pour leur détermination et leur lutte contre l'oppression diabolique."
Organisation,Les Technomanciens de Torch,"Un groupe d'ingénieurs et de mages explorant les technologies anciennes de Torch.","Torch, Numeria","Fondés pour exploiter les merveilles technologiques découvertes dans les ruines extraterrestres de Numeria.","Robots, Mutants","Khonnir Baine, Dolga Feddert","Les Ingénieurs de Numeria, Les Explorateurs de Torch","Les Technomanciens sont célèbres pour leurs inventions avancées et leur maîtrise de la technologie ancienne."
Organisation,Les Skalds du Nord,"Un groupe de bardes et de guerriers des Terres des Linnorm Kings, préservant les sagas et les histoires de leur peuple.","Terres des Linnorm Kings, nord de l'Avistan","Les Skalds voyagent de village en village, chantant les histoires des héros et des rois des Linnorms.","Linnorms, Trolls","White Estrid, Sveinn Blood-Eagle","Les Jarls des Linnorm Kings, Les Guerriers de Kalsgard","Les Skalds sont connus pour leurs chants épiques et leur rôle dans la préservation de l'histoire nordique."
Organisation,Les Mercenaires de Braganza,"Une compagnie de mercenaires bien entraînés au service de Molthune.","Molthune, centre-sud de l'Avistan","Fondés pour servir Molthune dans ses guerres d'expansion et de défense contre Nirmathas.","Soldats, Mercenaires","Général Lord Markwin Teldas, Commandant Vrykan Pendrot","Les Légions de Molthune, Les Gardiens de Canorate","Les Mercenaires de Braganza sont célèbres pour leur discipline militaire et leur efficacité sur le champ de bataille."
Organisation,Les Technomanciens de Starfall,"Un groupe de mages et de scientifiques dédiés à l'étude et à l'utilisation de la technologie extraterrestre de Numeria.","Starfall, Numeria","Fondés pour exploiter les merveilles technologiques découvertes dans les ruines extraterrestres de Numeria.","Robots, Mutants","Kevoth-Kul, Unity","La Légion d'Argent, Les Ingénieurs de Torch","Les Technomanciens sont connus pour leurs inventions avancées et leur maîtrise de la technologie ancienne."
Organisation,Les Pirates des Shackles,"Une coalition de pirates et de flibustiers qui contrôlent les mers autour des Shackles.","Les Shackles, sud de Garund","Formée pour résister aux forces extérieures et maintenir le contrôle des routes maritimes par les pirates.","Kraken, Pirates","Hurricane King Kerdak Bonefist, Tessa Fairwind","Les Flibustiers du Sud, Les Corsaires de Port Peril","Les Pirates sont célèbres pour leurs exploits audacieux et leur domination des mers."
Organisation,Les Vignerons de Sabado,"Un groupe de viticulteurs dédiés à la production des meilleurs vins de Taldor.","Sabado, Taldor","Fondés pour promouvoir et protéger l'art de la viticulture dans la région de Sabado.","Bandits, Faunes","Maire Julio Martis, Dame Andara","Les Fermiers de Sabado, La Milice de Sabado","Les Vignerons sont célèbres pour leurs vins exquis et leurs festivals annuels des vendanges."
Organisation,Les Gardes de Greengold,"Une milice locale dédiée à la protection de la ville portuaire de Greengold.","Greengold, Kyonin","Fondés pour protéger les intérêts des elfes et des non-elfes commerçant à Greengold.","Fées, Élémentaires","Ambassadeur Thandion, Capitaine Raleth","Les Marchands de Kyonin, Les Gardiens de la Forêt","Les Gardes sont célèbres pour leur vigilance et leur compétence en matière de défense."
Organisation,Les Insurgés de Kintargo,"Un groupe de rebelles cherchant à libérer Kintargo de la domination diabolique de Cheliax.","Kintargo, Cheliax","Formés en réponse à la tyrannie de Barzillai Thrune, les Insurgés luttent pour la liberté et la justice.","Diables, Révolutionnaires","Barzillai Thrune, Shensen","Les Révolutionnaires de Cheliax, Les Artistes de la Libération","Les Insurgés sont connus pour leur détermination et leur lutte contre l'oppression diabolique."
Organisation,Les Technomanciens de Torch,"Un groupe d'ingénieurs et de mages explorant les technologies anciennes de Torch.","Torch, Numeria","Fondés pour exploiter les merveilles technologiques découvertes dans les ruines extraterrestres de Numeria.","Robots, Mutants","Khonnir Baine, Dolga Feddert","Les Ingénieurs de Numeria, Les Explorateurs de Torch","Les Technomanciens sont célèbres pour leurs inventions avancées et leur maîtrise de la technologie ancienne."
Divinité,Iomedae,"Déesse de la justice, de l'honneur, de la bravoure et du soleil.","Justice, Courage, Soleil, Honneur","Iomedae était une mortelle qui a passé l'Épreuve de la Pierre Étoile pour devenir une déesse, remplaçant Aroden en tant que déesse de la justice.","Reine Galfrey, Hulrun Shappok","Épée et soleil","Temple de l'Inébranlable à Absalom, Cathédrale de la Lame de l'Aube à Vigil","Iomedae est souvent représentée en armure brillante brandissant une épée longue."
Divinité,Desna,"Déesse des rêves, des étoiles, de la chance et des voyageurs.","Rêves, Étoiles, Chance, Voyage","Desna est une ancienne déesse qui a aidé à créer le monde et qui est connue pour sa bienveillance et sa guidance des voyageurs.","Cayden Cailean (dieu), Keren Rhinn","Papillon","Temple des Étoiles Vagabondes à Magnimar, Sanctuaire de la Lune Rêveuse à Kyonin","Desna est souvent représentée comme une femme ailée entourée de papillons."
Divinité,Abadar,"Dieu des villes, du commerce, de la loi et de la richesse.","Loi, Commerce, Richesse, Civilisation","Abadar est le gardien des clés de la première voûte et veille sur les transactions et les lois civiles.","Seigneur Gyr d'Absalom, Baron Dalsine","Clé dorée","Temple de la Première Voûte à Absalom, Banque d'Abadar à Katapesh","Abadar est souvent représenté comme un homme élégant portant une clé dorée."
Divinité,Asmodeus,"Dieu des contrats, du pouvoir, de la tyrannie et de l'enfer.","Contrats, Pouvoir, Tyrannie, Enfer","Asmodeus est l'un des diables originaux qui ont aidé à créer le multivers et règne sur l'enfer avec une poigne de fer.","Reine Abrogail II, Paravicar Acillmar","Pentagramme inversé","Cœur de l'Enfer à Egorian, Temple de l'Infernal à Cheliax","Asmodeus est souvent représenté comme un homme imposant avec des cornes et un sceptre."
Divinité,Calistria,"Déesse de la vengeance, du désir et des guêpes.","Vengeance, Désir, Guêpes","Calistria est une ancienne divinité elfique qui incarne la vengeance et le plaisir, souvent invoquée par ceux qui cherchent à se venger.","Vancaskerkin (famille), Shensen","Guêpe","Temple des Trois Délices à Kyonin, Maison des Désirs Cachés à Absalom","Calistria est souvent représentée comme une femme séduisante entourée de guêpes."
Divinité,Cayden Cailean,"Dieu de la liberté, du vin, de la bravoure et de la chance.","Liberté, Vin, Bravoure, Chance","Cayden Cailean était un mortel qui a passé l'Épreuve de la Pierre Étoile alors qu'il était ivre, devenant un dieu de la liberté et de la bravoure.","Mireya, Orlin Galesong","Chope de bière","Temple du Vin Éternel à Andoran, Taverne des Braves à Absalom","Cayden Cailean est souvent représenté comme un homme joyeux tenant une chope de bière."
Divinité,Gorum,"Dieu de la guerre, de la force, du combat et de la violence.","Guerre, Force, Combat, Violence","Gorum est une divinité ancienne vénérée par les guerriers et les combattants, invoquée avant les batailles pour garantir la victoire.","Amiri, Aric of Halvon","Casque à cornes","Temple du Sang et de l'Acier à Lastwall, Forteresse de Gorum à Numeria","Gorum est souvent représenté comme un guerrier en armure complète brandissant une épée massive."
